Dates,log_inflow
1/9/1938,3.738462646
1/16/1938,3.268236205
1/23/1938,3.049438991
1/30/1938,3.35616741
2/6/1938,3.203622974
2/13/1938,3.067784789
2/20/1938,3.021474599
2/27/1938,3.329627679
3/6/1938,3.076032078
3/13/1938,3.532504683
3/20/1938,3.127283017
3/27/1938,2.876806511
4/3/1938,2.904282658
4/10/1938,3.591821179
4/17/1938,3.089516544
4/24/1938,2.816791279
5/1/1938,2.682379767
5/8/1938,2.785500671
5/15/1938,2.838030083
5/22/1938,2.783338915
5/29/1938,3.068760828
6/5/1938,2.620947646
6/12/1938,3.091396098
6/19/1938,3.310325759
6/26/1938,3.855276198
7/3/1938,3.360095223
7/10/1938,2.901109438
7/17/1938,3.108855809
7/24/1938,3.650936648
7/31/1938,3.993269976
8/7/1938,3.581077693
8/14/1938,3.128751344
8/21/1938,2.966155818
8/28/1938,2.738986562
9/4/1938,2.649101095
9/11/1938,2.370383541
9/18/1938,2.228913406
9/25/1938,2.753061899
10/2/1938,2.513577143
10/9/1938,2.570939694
10/16/1938,2.510504796
10/23/1938,2.500140381
10/30/1938,2.728629695
11/6/1938,2.018409207
11/13/1938,1.842546837
11/20/1938,2.933977996
11/27/1938,2.606639285
12/4/1938,2.509377281
12/11/1938,3.457639714
12/18/1938,2.857603846
12/25/1938,2.719621272
1/1/1939,3.482261712
1/8/1939,3.092559245
1/15/1939,3.297589823
1/22/1939,3.430652225
1/29/1939,3.345114841
2/5/1939,3.745704686
2/12/1939,4.02561304
2/19/1939,3.917154046
2/26/1939,3.683077672
3/5/1939,3.865112269
3/12/1939,3.486049153
3/19/1939,3.744935733
3/26/1939,3.194103441
4/2/1939,3.761306007
4/9/1939,3.573237231
4/16/1939,3.13604165
4/23/1939,3.189271286
4/30/1939,3.246562588
5/7/1939,3.664659836
5/14/1939,2.840582804
5/21/1939,2.630356673
5/28/1939,2.656969751
6/4/1939,2.732120229
6/11/1939,2.806973194
6/18/1939,2.674291502
6/25/1939,2.979389013
7/2/1939,2.681865087
7/9/1939,3.618228056
7/16/1939,2.846973858
7/23/1939,3.219951086
7/30/1939,3.54550133
8/6/1939,2.804459751
8/13/1939,2.803743819
8/20/1939,4.171426877
8/27/1939,3.332020124
9/3/1939,4.013882489
9/10/1939,3.329853294
9/17/1939,3.026798744
9/24/1939,2.900983989
10/1/1939,2.86651772
10/8/1939,2.895549611
10/15/1939,2.633690596
10/22/1939,2.552022986
10/29/1939,2.428102383
11/5/1939,2.545888261
11/12/1939,2.538184001
11/19/1939,2.33160948
11/26/1939,2.695218919
12/3/1939,2.348207477
12/10/1939,2.256741793
12/17/1939,2.244672878
